"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu May 23 02:11:02 IST 2024","Thu May 23 02:11:35 IST 2024","33416","chromium","dashboard/basic.spec.ts","Spira Team Test Cases > is able to navigate to dashboard","","","is able to navigate to Refund Policy",""
"passed","Thu May 23 20:03:50 IST 2024","Thu May 23 20:03:52 IST 2024","2775","chromium","dashboard/basic.spec.ts","SBT Deshboard > is able to navigate to dashboard","","","is able to navigate to Free Courses Page",""
"broken","Wed May 15 01:10:25 IST 2024","Wed May 15 01:10:58 IST 2024","32806","webkit","CustomerArea/basic.spec.ts","Inflectra Customer Area","","","get cloud subscriptions",""
"passed","Wed May 15 01:25:35 IST 2024","Wed May 15 01:25:41 IST 2024","5174","chromium","CustomerArea/edge.spec.ts","","","","customer area is not accessable without correct cred",""
"passed","Wed May 15 01:25:35 IST 2024","Wed May 15 01:25:45 IST 2024","9845","chromium","CustomerArea/basic.spec.ts","Inflectra Customer Area","","","is able to login",""
"passed","Thu May 23 20:03:57 IST 2024","Thu May 23 20:04:00 IST 2024","3272","chromium","dashboard/basic.spec.ts","SBT Deshboard > is able to navigate to dashboard","","","is able to navigate to certificates",""
"passed","Sat May 18 02:01:17 IST 2024","Sat May 18 02:01:18 IST 2024","945","chromium","spira-team/basic.spec.ts","Spira Team Test Cases","","","delete a test case",""
"passed","Wed May 15 00:24:48 IST 2024","Wed May 15 00:24:55 IST 2024","6589","chromium","example.spec.ts","Inflectra Customer Area","","","get cloud subscriptions",""
"passed","Sat May 18 00:11:21 IST 2024","Sat May 18 00:11:24 IST 2024","3341","chromium","spira-team/basic.spec.ts","Spira Team Test Runs","","","is able to login",""
"failed","Tue May 14 23:31:28 IST 2024","Tue May 14 23:31:32 IST 2024","3962","chromium","example.spec.ts","Inflectra Customer Area","","","is unable to login",""
"passed","Sat May 18 02:00:48 IST 2024","Sat May 18 02:00:58 IST 2024","9719","chromium","customer-area/basic.spec.ts","Inflectra Customer Area","","","is able to login",""
"passed","Fri May 17 22:02:09 IST 2024","Fri May 17 22:02:12 IST 2024","3075","chromium","spira-team/basic.spec.ts","Spira Team","","","is able to login",""
"failed","Thu May 23 02:20:01 IST 2024","Thu May 23 02:20:04 IST 2024","3013","chromium","home-page/basic.spec.ts","Inflectra Customer Area","","","get cloud subscriptions",""
"passed","Thu May 23 02:10:56 IST 2024","Thu May 23 02:10:59 IST 2024","2992","chromium","dashboard/basic.spec.ts","Spira Team Test Cases > is able to navigate to dashboard","","","is able to navigate to Free Courses Page",""
"passed","Sat May 18 02:01:25 IST 2024","Sat May 18 02:01:28 IST 2024","2993","chromium","spira-team/basic.spec.ts","Spira Team Test Runs","","","access test runs page",""
"passed","Thu May 23 20:03:52 IST 2024","Thu May 23 20:03:55 IST 2024","2372","chromium","dashboard/basic.spec.ts","SBT Deshboard > is able to navigate to dashboard","","","is able to navigate to Support",""
"passed","Sat May 18 02:01:08 IST 2024","Sat May 18 02:01:11 IST 2024","3780","chromium","customer-area/edge.spec.ts","","","","customer area is not accessable without correct cred",""
"passed","Thu May 23 20:04:00 IST 2024","Thu May 23 20:04:02 IST 2024","2294","chromium","dashboard/basic.spec.ts","SBT Deshboard > is able to navigate to dashboard","","","is able to navigate to profile",""
"failed","Sat May 18 02:01:20 IST 2024","Sat May 18 02:01:24 IST 2024","4797","chromium","spira-team/basic.spec.ts","Spira Team Execute Test","","","execute the test case",""
"passed","Thu May 23 20:04:47 IST 2024","Thu May 23 20:04:58 IST 2024","10598","chromium","dashboard/courses.spec.ts","SBT Deshboard Courses Validations > is able to buy free course","","","is able to navigate to Free Courses Page",""
"passed","Thu May 23 02:20:04 IST 2024","Thu May 23 02:20:06 IST 2024","2304","chromium","home-page/edge.spec.ts","","","","customer area is not accessable without correct cred",""
"passed","Thu May 23 20:07:02 IST 2024","Thu May 23 20:07:19 IST 2024","16822","chromium","dashboard/courses.spec.ts","SBT Deshboard Courses Validations > is able to buy paid course","","","is able to navigate to stripe page",""
"passed","Thu May 23 20:03:41 IST 2024","Thu May 23 20:03:50 IST 2024","8675","chromium","dashboard/basic.spec.ts","SBT Deshboard","","","is able to login",""
"passed","Sat May 18 02:01:17 IST 2024","Sat May 18 02:01:17 IST 2024","809","chromium","spira-team/basic.spec.ts","Spira Team Test Cases","","","validate create test case",""
"passed","Sat May 18 02:00:58 IST 2024","Sat May 18 02:01:08 IST 2024","10090","chromium","customer-area/basic.spec.ts","Inflectra Customer Area","","","get cloud subscriptions",""
"broken","Wed May 15 01:10:19 IST 2024","Wed May 15 01:10:53 IST 2024","34023","firefox","CustomerArea/basic.spec.ts","Inflectra Customer Area","","","is able to login",""
"skipped","Thu May 23 02:12:28 IST 2024","Thu May 23 02:12:28 IST 2024","0","chromium","dashboard/basic.spec.ts","Spira Team Test Cases > is able to navigate to dashboard","","","is able to navigate to profile",""
"passed","Thu May 23 02:10:49 IST 2024","Thu May 23 02:10:56 IST 2024","7442","chromium","dashboard/basic.spec.ts","Spira Team Test Cases","","","is able to login",""
"passed","Sat May 18 02:01:13 IST 2024","Sat May 18 02:01:15 IST 2024","1607","chromium","spira-team/basic.spec.ts","Spira Team Test Cases","","","access test cases page",""
"passed","Sat May 18 02:01:18 IST 2024","Sat May 18 02:01:20 IST 2024","1215","chromium","spira-team/basic.spec.ts","Spira Team Test Cases","","","validate delete test case",""
"passed","Thu May 23 20:03:55 IST 2024","Thu May 23 20:03:57 IST 2024","1729","chromium","dashboard/basic.spec.ts","SBT Deshboard > is able to navigate to dashboard","","","is able to navigate to Refund Policy",""
